States,Number
Andhra Pradesh,5639
Arunachal Pradesh,75
Assam,1999
Bihar,2434
Chhattisgarh,3164
Goa,356
Gujarat,6309
Haryana,2887
Himachal Pradesh,820
Jammu & Kashmir,537
Jharkhand,1704
Karnataka,11462
Kerala,7135
Madhya Pradesh,14456
Maharashtra,9052
Manipur,117
Meghalaya,102
Mizoram,27
Nagaland,0
Odisha,3328
Punjab,2101
Rajasthan,3695
Sikkim,70
Tamil Nadu,23405
Telangana,4090
Tripura,217
Uttarakhand,568
Uttar Pradesh,11715
West Bengal,3793
Andaman and Nicobar Islands,19
Chandigarh,0
Dadra and Nagar Haveli,0
Daman and Diu,6
Delhi,0
Lakshadweep,0
Puducherry,373